jira号,执行结果,报告长度,备注,执行时间
VCU-205835,成功,0,分析任务已启动，Issue: VCU-205835 正在后台处理中,2025-05-10 16:26:34
VCU-167515,成功,0,分析任务已启动，Issue: VCU-167515 正在后台处理中,2024-08-20 14:22:37
VCU-416364,成功,0,分析任务已启动，Issue: VCU-416364 正在后台处理中,2026-01-07 17:20:44
VCU-77711,成功,0,分析任务已启动，Issue: VCU-77711 正在后台处理中,2022-12-20 15:25:16
VCU-197848,成功,0,分析任务已启动，Issue: VCU-197848 正在后台处理中,2025-04-21 16:55:16
VCU-243551,成功,0,分析任务已启动，Issue: VCU-243551 正在后台处理中,2025-11-24 14:23:38
VCU-72609,成功,0,分析任务已启动，Issue: VCU-72609 正在后台处理中,2022-09-26 15:53:59
VCU-421804,成功,0,分析任务已启动，Issue: VCU-421804 正在后台处理中,2026-01-18 14:41:50
VCU-437813,成功,0,分析任务已启动，Issue: VCU-437813 正在后台处理中,2026-02-09 05:00:15
VCU-420205,成功,0,分析任务已启动，Issue: VCU-420205 正在后台处理中,2026-01-08 17:00:13
VCU-86824,成功,0,分析任务已启动，Issue: VCU-86824 正在后台处理中,2023-03-03 12:13:35
VCU-405621,成功,0,分析任务已启动，Issue: VCU-405621 正在后台处理中,2025-12-17 20:26:59
VCU-419506,成功,0,分析任务已启动，Issue: VCU-419506 正在后台处理中,2026-01-07 19:47:41
VCU-418572,成功,0,分析任务已启动，Issue: VCU-418572 正在后台处理中,2026-01-05 10:52:10
VCU-198299,成功,0,分析任务已启动，Issue: VCU-198299 正在后台处理中,2025-04-18 15:00:50
VCU-232459,成功,0,分析任务已启动，Issue: VCU-232459 正在后台处理中,2025-08-01 13:55:05
VCU-194386,成功,0,分析任务已启动，Issue: VCU-194386 正在后台处理中,2025-03-10 20:40:05
VCU-233034,成功,0,分析任务已启动，Issue: VCU-233034 正在后台处理中,2025-09-22 07:00:43
VCU-211610,成功,0,分析任务已启动，Issue: VCU-211610 正在后台处理中,2025-08-26 15:38:45
VCU-418592,成功,0,分析任务已启动，Issue: VCU-418592 正在后台处理中,2026-01-07 10:05:40
VCU-229303,成功,0,分析任务已启动，Issue: VCU-229303 正在后台处理中,2025-08-28 17:20:04
VCU-154979,成功,0,分析任务已启动，Issue: VCU-154979 正在后台处理中,2024-05-20 14:25:40
VCU-410228,成功,0,分析任务已启动，Issue: VCU-410228 正在后台处理中,2025-12-24 10:07:45
VCU-144388,成功,0,分析任务已启动，Issue: VCU-144388 正在后台处理中,2024-04-24 15:19:49
VCU-438035,成功,0,分析任务已启动，Issue: VCU-438035 正在后台处理中,2026-02-09 15:25:16
VCU-418802,成功,0,分析任务已启动，Issue: VCU-418802 正在后台处理中,2026-01-04 13:56:34
VCU-418794,成功,0,分析任务已启动，Issue: VCU-418794 正在后台处理中,2026-01-12 17:54:20
VCU-505664,成功,0,分析任务已启动，Issue: VCU-505664 正在后台处理中,2026-06-22 15:39:28
VCU-532289,成功,0,分析任务已启动，Issue: VCU-532289 正在后台处理中,2026-08-14 13:10:40
VCU-193670,成功,0,分析任务已启动，Issue: VCU-193670 正在后台处理中,2025-03-11 20:48:39
VCU-216037,成功,0,分析任务已启动，Issue: VCU-216037 正在后台处理中,2025-07-24 15:13:05
VCU-217824,成功,0,分析任务已启动，Issue: VCU-217824 正在后台处理中,2025-07-18 14:54:26
VCU-193144,成功,0,分析任务已启动，Issue: VCU-193144 正在后台处理中,2025-03-27 19:58:58
VCU-232442,成功,0,分析任务已启动，Issue: VCU-232442 正在后台处理中,2025-07-31 19:58:06
VCU-415895,成功,0,分析任务已启动，Issue: VCU-415895 正在后台处理中,2026-01-30 15:00:37
VCU-431772,成功,0,分析任务已启动，Issue: VCU-431772 正在后台处理中,2025-09-13 19:27:41
VCU-59958,成功,0,分析任务已启动，Issue: VCU-59958 正在后台处理中,2022-01-01 00:21:31
VCU-221066,成功,0,分析任务已启动，Issue: VCU-221066 正在后台处理中,2025-07-14 21:17:26
VCU-480105,成功,0,分析任务已启动，Issue: VCU-480105 正在后台处理中,2026-04-29 18:58:21
VCU-194837,成功,0,分析任务已启动，Issue: VCU-194837 正在后台处理中,2025-03-04 19:17:25
VCU-203624,成功,0,分析任务已启动，Issue: VCU-203624 正在后台处理中,2025-05-19 10:51:39
VCU-537658,成功,0,分析任务已启动，Issue: VCU-537658 正在后台处理中,2026-08-26 10:27:25
VCU-420873,成功,0,分析任务已启动，Issue: VCU-420873 正在后台处理中,2026-01-13 15:17:46
VCU-501183,成功,0,分析任务已启动，Issue: VCU-501183 正在后台处理中,2026-06-11 17:02:34
VCU-486086,成功,0,分析任务已启动，Issue: VCU-486086 正在后台处理中,2026-05-11 16:49:11
VCU-202816,成功,0,分析任务已启动，Issue: VCU-202816 正在后台处理中,2025-05-22 13:40:15
VCU-520687,成功,0,分析任务已启动，Issue: VCU-520687 正在后台处理中,2026-07-17 10:29:44
VCU-418409,成功,0,分析任务已启动，Issue: VCU-418409 正在后台处理中,2026-01-16 13:53:41
VCU-230308,成功,0,分析任务已启动，Issue: VCU-230308 正在后台处理中,2025-08-11 17:51:05
VCU-526366,成功,0,分析任务已启动，Issue: VCU-526366 正在后台处理中,2026-07-30 13:48:59
