jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-537376,成功,2026-08-26 16:15:41,2026-09-15 11:28:13,1216.49s,失败,
VCU-537457,成功,2026-08-26 17:00:35,2026-09-15 11:28:13,,成功,
VCU-537466,成功,2026-08-26 10:44:00,2026-09-15 11:28:13,789.59s,成功,
VCU-537682,成功,2026-08-27 10:39:29,2026-09-15 11:28:13,,成功,
VCU-538294,成功,2026-08-28 10:23:05,2026-09-15 11:28:13,,成功,
VCU-538326,成功,2026-08-28 10:43:11,2026-09-15 11:28:13,,,
VCU-538600,成功,2026-08-28 14:50:00,2026-09-15 14:20:27,45.13s,成功,
VCU-539178,成功,2026-08-31 15:40:50,2026-09-15 11:28:13,,成功,
VCU-539411,成功,2026-08-31 18:04:05,2026-09-15 11:28:13,,成功,
VCU-539849,成功,2026-09-01 15:22:18,2026-09-15 11:28:13,,,
VCU-539911,成功,2026-09-01 15:28:00,2026-09-15 13:24:36,342.41s,成功,
VCU-540051,成功,2026-09-01 14:57:00,2026-09-15 15:29:41,256.99s,成功,
VCU-540356,成功,2026-09-02 09:28:11,2026-09-15 11:28:13,3.78s,失败,
VCU-540559,成功,2026-08-31 18:48:00,2026-09-15 14:20:27,337.28s,成功,
VCU-540707,成功,2026-09-02 15:44:26,2026-09-15 11:28:13,42.93s,成功,
VCU-540708,成功,2026-09-02 15:44:50,2026-09-15 11:28:13,,成功,
VCU-540742,成功,2026-09-02 16:06:27,2026-09-15 11:28:13,713.11s,失败,
VCU-540848,成功,2026-09-02 16:58:34,2026-09-15 11:28:13,,成功,
VCU-540921,成功,2026-09-02 17:45:23,2026-09-15 11:28:13,,,
VCU-541101,成功,2026-09-03 11:22:56,2026-09-15 11:28:13,,成功,
VCU-541322,成功,2026-09-03 16:21:10,2026-09-15 11:28:13,,成功,
VCU-541458,成功,2026-09-03 15:21:00,2026-09-15 14:20:27,38.96s,失败,
VCU-543127,成功,2026-09-07 17:24:30,2026-09-15 11:28:13,411.31s,失败,
VCU-543887,成功,2026-09-08 18:01:22,2026-09-15 11:28:13,,,
VCU-546620,成功,2026-09-14 17:13:10,2026-09-15 11:28:13,273.83s,失败,
