jira号,执行结果,触发时间,执行时间,分析耗时,分析结果,备注
VCU-536684,成功,2026-08-25 14:18:19,2026-09-20 11:27:37,575.22s,成功,
VCU-536767,成功,2026-08-25 15:31:00,2026-09-20 11:27:37,779.72s,成功,
VCU-536780,成功,2026-08-25 15:43:00,2026-09-20 11:33:24,523.13s,成功,
VCU-536860,成功,2026-08-25 13:09:00,2026-09-20 11:27:37,837.65s,成功,
VCU-536892,成功,2026-08-25 16:41:00,2026-09-20 12:21:00,646.5s,成功,
VCU-537135,成功,2026-08-26 10:49:00,2026-09-20 11:27:37,569.37s,成功,
VCU-537263,成功,2026-08-24 19:58:00,2026-09-20 11:27:37,530.99s,成功,
VCU-537299,成功,2026-08-24 20:22:00,2026-09-20 12:21:00,611.7s,成功,
VCU-538012,成功,2026-08-27 15:48:00,2026-09-20 11:27:37,747.63s,成功,
VCU-538021,成功,2026-08-27 15:49:00,2026-09-20 11:27:37,573.63s,成功,
VCU-538598,成功,2026-08-28 10:46:00,2026-09-20 12:21:00,459.43s,成功,
VCU-539276,成功,2026-08-31 15:48:17,2026-09-20 12:21:00,646.01s,成功,
VCU-540522,成功,2026-09-01 14:49:00,2026-09-20 15:29:37,446.5s,成功,
VCU-540552,成功,2026-09-02 09:28:00,2026-09-20 11:09:16,286.58s,成功,
VCU-541387,成功,2026-09-03 13:11:40,2026-09-20 11:27:37,722.12s,成功,
VCU-543523,成功,2026-09-08 13:35:18,2026-09-20 12:21:00,630.66s,成功,
VCU-543861,成功,2026-09-11 13:52:00,2026-09-20 12:21:00,419.52s,成功,
VCU-544130,成功,2026-09-09 10:17:00,2026-09-20 12:21:00,405.71s,成功,
VCU-544291,成功,2026-09-09 12:18:00,2026-09-20 12:21:00,680.08s,成功,
VCU-544469,成功,2026-09-14 17:32:00,2026-09-20 11:27:37,790.8s,成功,
VCU-544536,成功,2026-09-09 15:53:00,2026-09-20 12:21:00,655.22s,成功,
VCU-544557,成功,2026-09-09 10:31:00,2026-09-20 14:40:42,19.39s,失败,
VCU-544561,成功,2026-09-09 10:27:00,2026-09-20 11:27:37,756.81s,成功,
VCU-544568,成功,2026-09-09 16:40:54,2026-09-20 12:21:00,703.57s,成功,
VCU-544569,成功,2026-09-09 16:43:54,2026-09-20 12:21:00,417.01s,成功,
VCU-544807,成功,2026-09-10 10:03:31,2026-09-20 11:27:37,641.6s,成功,
VCU-544908,成功,2026-09-10 13:42:35,2026-09-20 11:27:37,532.5s,成功,
VCU-544944,成功,2026-09-10 14:19:55,2026-09-20 11:27:37,537.28s,成功,
VCU-545602,成功,2026-09-11 15:16:00,2026-09-20 11:27:37,553.26s,成功,
VCU-546354,成功,2026-09-11 15:19:19,2026-09-20 11:27:37,615.62s,成功,
VCU-546941,成功,2026-09-15 13:41:08,2026-09-20 11:27:37,694.59s,成功,
VCU-546955,成功,2026-09-15 13:41:34,2026-09-20 11:27:37,713.11s,成功,
VCU-546957,成功,2026-09-15 13:41:34,2026-09-20 11:27:37,743.5s,成功,
VCU-547087,成功,2026-09-15 15:31:00,2026-09-20 12:21:00,700.38s,成功,
VCU-547352,成功,2026-09-14 21:51:00,2026-09-20 11:27:37,513.61s,成功,
VCU-547686,成功,2026-09-16 15:18:00,2026-09-20 12:21:00,625.76s,成功,
VCU-547761,成功,2026-09-16 13:28:00,2026-09-20 12:21:00,660.49s,成功,
